clip_key,job_id,source_still,section,mp4_url,motion
C01,c2b90eb1-a98c-4b59-8df7-61a6a456862c,ec7bf2e2,band,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260629_013154_c2b90eb1-a98c-4b59-8df7-61a6a456862c.mp4,Band wide; singer leans to mic; cymbal shimmers; lamp flickers
C02,229bbbc3-52d9-4886-b5fc-57161427509f,43498158,performance,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234004_229bbbc3-52d9-4886-b5fc-57161427509f.mp4,Singer CU; lifts eyes to lens; parts lips to sing
C03,74079fe6-bb4e-44ba-aff2-21aa172c0d83,f92d8e71,insert,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234033_74079fe6-bb4e-44ba-aff2-21aa172c0d83.mp4,Rain runs/merges down dark glass; warm bokeh beyond
C04,297449bf-74a9-46a3-aa53-bf028d9a5a81,regenA1,story,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260629_012654_297449bf-74a9-46a3-aa53-bf028d9a5a81.mp4,Turns as if touched; reflection forms then dissolves
C05,a1e237a3-5814-4014-8f42-05f088b0f38a,ccc75620,insert,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234010_a1e237a3-5814-4014-8f42-05f088b0f38a.mp4,Mist drifts over bending river; surface shifts
C06,148ef95e-d615-482b-ac92-187821b924bd,ca2e6b85,insert,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260629_013219_148ef95e-d615-482b-ac92-187821b924bd.mp4,Grey ocean heaves slowly under rain
C07,d0c0e4d4-dcac-4732-b7f0-ede3507dce8f,8f972a07,story,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260629_014340_d0c0e4d4-dcac-4732-b7f0-ede3507dce8f.mp4,Woman reflection surfaces behind shoulder; raindrop breaks it; empty room
C08,b36d8f7e-a070-42f1-963a-eaac7e079504,aa6784bc,insert,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234015_b36d8f7e-a070-42f1-963a-eaac7e079504.mp4,Curtains breathe inward; trees sway in storm
C09,adb501a3-dc3c-46dd-91b7-150e743e0083,8fd9fce9,band,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234017_adb501a3-dc3c-46dd-91b7-150e743e0083.mp4,Band gains intensity; drummer enters; push-in
C10,da567b26-5aed-4863-a1e1-b710dc30c0bd,749d8aeb,insert,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234056_da567b26-5aed-4863-a1e1-b710dc30c0bd.mp4,Puddle ripples; reflection trembles; thunder flicker
C11,f057574f-dd16-44e8-ad2d-ccdfb6151d96,1143614b,memory,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234058_f057574f-dd16-44e8-ad2d-ccdfb6151d96.mp4,Woman in rain turns away; fades into haze
C12,3bb65d56-bdeb-4897-8ce1-d7b930791440,9dc2c514,band,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234100_3bb65d56-bdeb-4897-8ce1-d7b930791440.mp4,Full band release; singer opens up; cymbal hit
C13,9255cfb3-0f7b-407e-96c1-3d022d299707,94430bdf,story,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260628_153325_9255cfb3-0f7b-407e-96c1-3d022d299707.mp4,Turns toward window at thunder; lightning; nothing
C14,3a3f4f74-c141-4e84-ae23-7e5ec79c37f5,06808897,story,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234105_3a3f4f74-c141-4e84-ae23-7e5ec79c37f5.mp4,Hand opens drawer; rainlight flickers on old photo
C15,42b95398-dc7b-4252-b145-9c1ddced4281,5ca66ac1,story,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260629_012642_42b95398-dc7b-4252-b145-9c1ddced4281.mp4,Woman face forms in misted mirror; he reaches; dissolves
C16,c31ab9e6-0b36-40c4-ae1a-679e8ecfd56b,7553790a,memory,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260629_014040_c31ab9e6-0b36-40c4-ae1a-679e8ecfd56b.mp4,Woman face softly forms in fogged glass then fades
C17,ad3d0086-ca15-4aa3-94f0-9b49293956c1,99cf778f,story,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234111_ad3d0086-ca15-4aa3-94f0-9b49293956c1.mp4,Lifts eyes to storm sky; stops fighting
C18,f6484ae3-c098-41e8-82dc-ac95248b6962,e5978420,insert,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234126_f6484ae3-c098-41e8-82dc-ac95248b6962.mp4,Storm clouds churn and drift
C19,075c6af2-6581-488e-aa0c-2479a72e14cf,e6c3fd90,story,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260629_012933_075c6af2-6581-488e-aa0c-2479a72e14cf.mp4,Lightning splits sky behind him; rain on skin
C20,e6670604-3ac6-4183-af4e-caaf11f70587,5cc8239a,band,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234130_e6670604-3ac6-4183-af4e-caaf11f70587.mp4,Band at peak; urgent; almost angry
C21,7826073a-b52d-4740-93b2-aed813a60484,76054c72,memory,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_234132_7826073a-b52d-4740-93b2-aed813a60484.mp4,Distant memory woman half-turns; dissolves into light
C22,f0b1f137-0c1b-4264-9ee7-d142ecce7d20,bc9718dd,story,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260629_013716_f0b1f137-0c1b-4264-9ee7-d142ecce7d20.mp4,Rainwater spreads on floor; drawer creaks open; thunder
C23,94e1d8b1-b325-4d5d-a43d-63a02bdc497d,5e5552ea,story,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260629_013722_94e1d8b1-b325-4d5d-a43d-63a02bdc497d.mp4,Alone by window; turns eyes to camera; unresolved
C24,e77cd5b3-b90c-436d-984c-f6dd8761acd0,97cd064d,performance,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260629_014050_e77cd5b3-b90c-436d-984c-f6dd8761acd0.mp4,Near-still CU; quiet haunted gaze; slow blink
EX1,a303faab-5926-4f89-a269-584f26f9eb4c,prior,insert,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_200846_a303faab-5926-4f89-a269-584f26f9eb4c.mp4,Man gazes at grey rain-swept ocean through glass
EX2,c1cb27a8-fd89-470a-bbeb-1feb29a80605,prior,story,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260627_220349_c1cb27a8-fd89-470a-bbeb-1feb29a80605.mp4,Man in rain looks up; lightning flashes on his face
C25,ca67e772-7825-4793-950b-2864a50b18c4,76c55142,band,https://d8j0ntlcm91z4.cloudfront.net/user_3FjIki1qP1YKJkNjWdqvy8pFZnR/hf_20260630_041631_ca67e772-7825-4793-950b-2864a50b18c4.mp4,"drummer hands accelerate a tom fill, sticks blur, lightning flickers"
