index,clip_key,in_point,duration,section,note
1,C03,0.0,4,INTRO,rain on glass (open)
2,C01,0.0,4,INTRO,band room wakes
3,C02,0.0,3,INTRO,singer close-up
4,C04,0.0,4,INTRO,man alone by window
5,C03,1.0,3,INTRO,rain hold into verse
6,C02,0.5,3.1,V1,sings opening line
7,C04,0.0,3.88,V1,turns as if touched; reflection dissolves
8,C01,1.0,2.33,V1,restrained band
9,C06,0.0,3.1,V1,grey ocean
10,EX1,0.0,3.1,V1,gazes at ocean through glass
11,C05,0.0,3.1,V1,river bend
12,C02,2.0,2.33,V1,singer
13,C04,1.5,2.31,V1,window
14,C07,0.0,4.75,V2,over shoulder; her reflection surfaces
15,C02,0.0,2.85,V2,face-on singing
16,C03,0.5,2.85,V2,rain behind him
17,C07,0.0,3.8,V2,raindrop breaks reflection; empty room
18,C09,0.0,2.85,V2,band fragments
19,C02,1.0,2.85,V2,more direct
20,C04,0.0,3.8,V2,window
21,C07,0.0,4.75,V2,reflection again, gone
22,C08,0.0,3.9,PRE1,curtains breathe; trees move
23,C13,0.0,3.12,PRE1,almost turns toward a sound
24,C09,0.0,3.12,PRE1,drummer enters, build
25,C02,0.0,2.34,PRE1,"it's like you never left"
26,C08,1.0,3.12,PRE1,trees move
27,C09,0.0,3.9,PRE1,push-in, intensity rising
28,C12,0.0,4.15,CH1,band release
29,C10,0.0,3.11,CH1,puddle reflection trembles
30,C31,0.0,3.2,CH1,drummer strikes the backbeat hard, cymbal shimmers
31,C19,0.0,3.11,CH1,thunder flash
32,C11,0.0,3.11,CH1,woman from behind, gone
33,C32,0.0,3.2,CH1,hands strum and move along the fretboard, chorus rhythm
34,C12,1.5,3.11,CH1,band
35,C02,0.0,3.11,CH1,chorus with force
36,C33,0.0,3.2,CH1,singer sings the chorus with force into the mic, slight push-in
37,C10,1.5,3.11,CH1,water again
38,C12,0.0,3.11,CH1,band
39,C34,0.0,3.23,CH1,hands lift into the chorus on the keys under warm lamp
40,C13,0.0,2.66,V3,turns toward window at thunder
41,C18,0.0,1.6,V3,storm clouds
42,C09,1.0,1.6,V3,band warmer, urgent
43,C13,1.0,2.13,V3,turns, nothing
44,C11,1.0,1.6,V3,distant woman, one shot
45,C02,0.0,2.13,V3,singer less controlled
46,C12,0.0,2.13,V3,drummer harder
47,C13,0.0,2.65,V3,listening, haunted
48,C14,0.0,4.75,V4,opens drawer, hides memory
49,C15,0.0,4.75,V4,her face in misted mirror
50,C02,1.0,2.85,V4,CU; band swallowed by story
51,C16,0.0,3.8,V4,face forms in fog
52,C15,1.0,3.8,V4,he reaches; dissolves to his reflection
53,C14,1.0,3.8,V4,drawer closes
54,C09,0.0,4.75,V4,shadowy band
55,C17,0.0,4.12,PRE2,looks up into storm sky
56,C25,0.0,3.4,PRE2,drummer hands accelerate a tom fill, sticks blur, lightning flickers
57,C18,0.0,3.3,PRE2,clouds move
58,C26,0.0,3.4,PRE2,slow dolly push-in toward the band leaning into the build
59,C12,0.0,3.3,PRE2,band carries the confession
60,C27,0.0,3.4,PRE2,singer lifts chin and leans into a rising vocal in profile
61,C02,0.0,3.3,PRE2,"I still want you"
62,C28,0.0,3.4,PRE2,bassist sways forward, hand driving low strings, rim light shifts
63,C17,1.0,3.3,PRE2,stops fighting it
64,C29,0.0,3.4,PRE2,hands drive hard chords, lightning flash crosses the keys
65,C20,0.0,3.3,PRE2,band rises
66,C30,0.0,3.38,PRE2,whole band rises together at the peak, arms and instruments lifting
67,C20,0.0,3,CH2,band
68,C10,0.0,2.5,CH2,water
69,C19,0.0,2.5,CH2,thunder
70,C15,0.0,3,CH2,mirror
71,C07,0.0,3,CH2,window reflection
72,C21,0.0,3,CH2,clean memory shot, turns away
73,C20,1.0,3,CH2,band
74,C02,0.0,4,CH2,almost angry at himself
75,C22,0.0,5,BRIDGE,rainwater spreads across floor
76,C16,0.0,3,BRIDGE,mirror fogs
77,C11,0.0,3,BRIDGE,she turns away
78,C20,0.0,3,BRIDGE,band at peak
79,C22,2.0,3,BRIDGE,drawer creaks open
80,C21,0.0,3,BRIDGE,she vanishes
81,C15,0.0,3,BRIDGE,he reaches for the mirror
82,C20,0.0,2.6,FINAL,final chorus, band plays out
83,C24,0.0,2.6,FINAL,singer direct, almost still
84,C23,0.0,3.47,FINAL,alone by the window
85,C03,0.0,1.73,FINAL,rain continues
86,C23,1.0,2.6,FINAL,looks to camera, unresolved (end)
