index,clip_key,in_point,duration,section,note
1,C03,0,4,INTRO,rain on glass (open)
2,C01,0,3.9,INTRO,band room wakes
3,C02,0,2.92,INTRO,singer close-up
4,C04,0,3.91,INTRO,man alone by window
5,C03,1,3.27,INTRO,rain hold into verse
6,C02,0.5,3.55,V1,sings opening line
7,C04,0,3.9,V1,turns as if touched; reflection dissolves
8,C01,1,1.95,V1,restrained band
9,C06,0,2.93,V1,grey ocean
10,EX1,0,2.93,V1,gazes at ocean through glass
11,C05,0,2.92,V1,river bend
12,C02,2,2.93,V1,singer
13,C04,1.5,2.14,V1,window
14,C07,0,4.68,V2,over shoulder; her reflection surfaces
15,C02,0,2.93,V2,face-on singing
16,C03,0.5,2.92,V2,rain behind him
17,C07,0,3.91,V2,raindrop breaks reflection; empty room
18,C09,0,2.92,V2,band fragments
19,C02,1,2.93,V2,more direct
20,C04,0,3.9,V2,window
21,C07,0,4.31,V2,reflection again
22,C08,0,3.49,PRE1,curtains breathe; trees move
23,C13,0,3.9,PRE1,almost turns toward a sound
24,C09,0,2.93,PRE1,drummer enters
25,C02,0,1.95,PRE1,it's like you never left
26,C08,1,2.92,PRE1,trees move
27,C09,0,4.31,PRE1,push-in
28,C12,0,4.47,CH1,band release
29,C10,0,2.93,CH1,puddle reflection trembles
30,C31,0,2.92,CH1,drummer strikes the backbeat hard
31,C19,0,2.93,CH1,thunder flash
32,C11,0,3.9,CH1,woman from behind
33,C32,0,2.92,CH1,hands strum and move along the fretboard
34,C12,1.5,2.93,CH1,band
35,C02,0,2.93,CH1,chorus with force
36,C33,0,2.92,CH1,singer sings the chorus with force into the mic
37,C10,1.5,3.5,CH1,water again
38,C12,0,3.33,CH1,band
39,C34,0,3.07,CH1,hands lift into the chorus on the keys under warm lamp
40,C13,0,2.78,V3,turns toward window at thunder
41,C18,0,1.95,V3,storm clouds
42,C09,1,0.97,V3,band warmer
43,C13,1,1.96,V3,turns
44,C11,1,1.95,V3,distant woman
45,C02,0,1.95,V3,singer less controlled
46,C12,0,1.95,V3,drummer harder
47,C13,0,2.99,V3,listening
48,C14,0,4.81,V4,opens drawer
49,C15,0,4.87,V4,her face in misted mirror
50,C02,1,2.93,V4,CU; band swallowed by story
51,C16,0,3.9,V4,face forms in fog
52,C15,1,3.9,V4,he reaches; dissolves to his reflection
53,C14,1,3.34,V4,drawer closes
54,C09,0,4.75,V4,shadowy band
55,C17,0,4.59,PRE2,looks up into storm sky
56,C25,0,2.93,PRE2,drummer hands accelerate a tom fill
57,C18,0,2.92,PRE2,clouds move
58,C26,0,3.9,PRE2,slow dolly push-in toward the band leaning into the build
59,C12,0,2.93,PRE2,band carries the confession
60,C27,0,3.9,PRE2,singer lifts chin and leans into a rising vocal in profile
61,C02,0,2.93,PRE2,I still want you
62,C28,0,3.9,PRE2,bassist sways forward
63,C17,1,2.92,PRE2,stops fighting it
64,C29,0,2.93,PRE2,hands drive hard chords
65,C20,0,3.9,PRE2,band rises
66,C30,0,3.25,PRE2,whole band rises together at the peak
67,C20,0,2.6,CH2,band
68,C10,0,2.93,CH2,water
69,C19,0,2.92,CH2,thunder
70,C15,0,2.93,CH2,mirror
71,C07,0,2.92,CH2,window reflection
72,C21,0,2.93,CH2,clean memory shot
73,C20,1,2.93,CH2,band
74,C02,0,3.84,CH2,almost angry at himself
75,C22,0,4.93,BRIDGE,rainwater spreads across floor
76,C16,0,2.93,BRIDGE,mirror fogs
77,C11,0,2.92,BRIDGE,she turns away
78,C20,0,2.93,BRIDGE,band at peak
79,C22,2,2.93,BRIDGE,drawer creaks open
80,C21,0,2.92,BRIDGE,she vanishes
81,C15,0,3.44,BRIDGE,he reaches for the mirror
82,C20,0,2.41,FINAL,final chorus
83,C24,0,2.93,FINAL,singer direct
84,C23,0,2.92,FINAL,alone by the window
85,C03,0,1.95,FINAL,rain continues
86,C23,1,2.79,FINAL,looks to camera
